task,regime,split,difficulty,stress,tail,contact,embodiment,shortcut,horizon,scarcity,latency,alias,hazard
cable_routing,embodiment_mismatch,nominal_scaling,0.088,0.12,0.298944,0.312301,0.357284,0.336224,0.195915,0.310248,0.181152,0.222112,0.3744
cable_routing,embodiment_mismatch,contact_tail_shift,0.088,0.56,0.549504,0.550838,0.410659,0.36176,0.306009,0.42899,0.220032,0.27632,0.5328
cable_routing,embodiment_mismatch,embodiment_shift,0.088,0.6,0.424224,0.44019,0.654657,0.378784,0.317856,0.447739,0.231696,0.296032,0.5472
cable_routing,embodiment_mismatch,shortcut_shift,0.088,0.56,0.420336,0.435389,0.433533,0.502208,0.303119,0.416491,0.220032,0.37488,0.5328
cable_routing,embodiment_mismatch,recovery_scarcity,0.088,0.62,0.482328,0.492786,0.486908,0.40432,0.347619,0.560232,0.247248,0.310816,0.5544
cable_routing,embodiment_mismatch,cross_robot_morphology,0.088,0.66,0.458136,0.47249,0.669907,0.412832,0.332015,0.460238,0.293904,0.320672,0.5688
cable_routing,embodiment_mismatch,heldout_exception_composition,0.088,0.74,0.527688,0.537307,0.586033,0.472416,0.357155,0.503986,0.30168,0.389664,0.5976
cable_routing,embodiment_mismatch,combined_exception_stress,0.088,0.86,0.573048,0.581828,0.631782,0.493696,0.389807,0.547733,0.325008,0.409376,0.6408
cable_routing,long_horizon_compounding,nominal_scaling,0.088,0.12,0.343232,0.272004,0.163108,0.315232,0.429147,0.420336,0.241536,0.20192,0.3536
cable_routing,long_horizon_compounding,contact_tail_shift,0.088,0.56,0.630912,0.479762,0.187475,0.33808,0.670305,0.581213,0.293376,0.2512,0.5032
cable_routing,long_horizon_compounding,embodiment_shift,0.088,0.6,0.487072,0.383391,0.298865,0.353312,0.696256,0.606614,0.308928,0.26912,0.5168
cable_routing,long_horizon_compounding,shortcut_shift,0.088,0.56,0.482608,0.37921,0.197917,0.463744,0.663975,0.564278,0.293376,0.3408,0.5032
cable_routing,long_horizon_compounding,recovery_scarcity,0.088,0.62,0.553784,0.429201,0.222284,0.37616,0.761451,0.759024,0.329664,0.28256,0.5236
cable_routing,long_horizon_compounding,cross_robot_morphology,0.088,0.66,0.526008,0.411523,0.305827,0.383776,0.727271,0.623549,0.391872,0.29152,0.5372
cable_routing,long_horizon_compounding,heldout_exception_composition,0.088,0.74,0.605864,0.467977,0.267537,0.437088,0.782339,0.682819,0.40224,0.35424,0.5644
cable_routing,long_horizon_compounding,combined_exception_stress,0.088,0.86,0.657944,0.506753,0.288422,0.456128,0.853863,0.74209,0.433344,0.37216,0.6052
cable_routing,spurious_visual_shortcut,nominal_scaling,0.088,0.12,0.287872,0.171262,0.139807,0.630112,0.205244,0.230184,0.140896,0.35336,0.2912
cable_routing,spurious_visual_shortcut,contact_tail_shift,0.088,0.56,0.529152,0.302072,0.160692,0.69328,0.32058,0.318283,0.171136,0.4396,0.4144
cable_routing,spurious_visual_shortcut,embodiment_shift,0.088,0.6,0.408512,0.241395,0.25617,0.735392,0.332992,0.332194,0.180208,0.47096,0.4256
cable_routing,spurious_visual_shortcut,shortcut_shift,0.088,0.56,0.404768,0.238762,0.169644,1.040704,0.317553,0.30901,0.171136,0.5964,0.4144
cable_routing,spurious_visual_shortcut,recovery_scarcity,0.088,0.62,0.464464,0.270237,0.190529,0.79856,0.364172,0.415656,0.192304,0.49448,0.4312
cable_routing,spurious_visual_shortcut,cross_robot_morphology,0.088,0.66,0.441168,0.259107,0.262138,0.819616,0.347825,0.341467,0.228592,0.51016,0.4424
cable_routing,spurious_visual_shortcut,heldout_exception_composition,0.088,0.74,0.508144,0.294652,0.229317,0.967008,0.374162,0.373925,0.23464,0.61992,0.4648
cable_routing,spurious_visual_shortcut,combined_exception_stress,0.088,0.86,0.551824,0.319067,0.247219,1.019648,0.408369,0.406382,0.252784,0.65128,0.4984
cable_routing,recovery_scarce_failure,nominal_scaling,0.088,0.12,0.398592,0.342524,0.194176,0.34672,0.345183,0.470376,0.211344,0.232208,0.4056
cable_routing,recovery_scarce_failure,contact_tail_shift,0.088,0.56,0.732672,0.604145,0.223184,0.3736,0.539158,0.650405,0.256704,0.28888,0.5772
cable_routing,recovery_scarce_failure,embodiment_shift,0.088,0.6,0.565632,0.482789,0.355792,0.39152,0.560032,0.67883,0.270312,0.309488,0.5928
cable_routing,recovery_scarce_failure,shortcut_shift,0.088,0.56,0.560448,0.477523,0.235616,0.52144,0.534067,0.631454,0.256704,0.39192,0.5772
cable_routing,recovery_scarce_failure,recovery_scarcity,0.088,0.62,0.643104,0.540475,0.264624,0.4184,0.612471,0.849384,0.288456,0.324944,0.6006
cable_routing,recovery_scarce_failure,cross_robot_morphology,0.088,0.66,0.610848,0.518214,0.36408,0.42736,0.584979,0.697781,0.342888,0.335248,0.6162
cable_routing,recovery_scarce_failure,heldout_exception_composition,0.088,0.74,0.703584,0.589304,0.318496,0.49008,0.629272,0.764107,0.35196,0.407376,0.6474
cable_routing,recovery_scarce_failure,combined_exception_stress,0.088,0.86,0.764064,0.638134,0.34336,0.51248,0.686803,0.830434,0.379176,0.427984,0.6942
cable_routing,distribution_mixture_aliasing,nominal_scaling,0.088,0.12,0.365376,0.272004,0.20971,0.546144,0.279878,0.35028,0.20128,0.474512,0.364
cable_routing,distribution_mixture_aliasing,contact_tail_shift,0.088,0.56,0.671616,0.479762,0.241039,0.59856,0.437155,0.484344,0.24448,0.59032,0.518
cable_routing,distribution_mixture_aliasing,embodiment_shift,0.088,0.6,0.518496,0.383391,0.384255,0.633504,0.45408,0.505512,0.25744,0.632432,0.532
cable_routing,distribution_mixture_aliasing,shortcut_shift,0.088,0.56,0.513744,0.37921,0.254465,0.886848,0.433027,0.470232,0.24448,0.80088,0.518
cable_routing,distribution_mixture_aliasing,recovery_scarcity,0.088,0.62,0.589512,0.429201,0.285794,0.68592,0.496598,0.63252,0.27472,0.664016,0.539
cable_routing,distribution_mixture_aliasing,cross_robot_morphology,0.088,0.66,0.559944,0.411523,0.393206,0.703392,0.474307,0.519624,0.32656,0.685072,0.553
cable_routing,distribution_mixture_aliasing,heldout_exception_composition,0.088,0.74,0.644952,0.467977,0.343976,0.825696,0.510221,0.569016,0.3352,0.832464,0.581
cable_routing,distribution_mixture_aliasing,combined_exception_stress,0.088,0.86,0.700392,0.506753,0.370829,0.869376,0.556867,0.618408,0.36112,0.874576,0.623
cable_routing,actuator_latency_shift,nominal_scaling,0.088,0.12,0.321088,0.392895,0.271846,0.315232,0.307866,0.330264,0.462944,0.212016,0.3952
cable_routing,actuator_latency_shift,contact_tail_shift,0.088,0.56,0.590208,0.692989,0.312458,0.33808,0.480871,0.456667,0.562304,0.26376,0.5624
cable_routing,actuator_latency_shift,embodiment_shift,0.088,0.6,0.455648,0.553788,0.498109,0.353312,0.499488,0.476626,0.592112,0.282576,0.5776
cable_routing,actuator_latency_shift,shortcut_shift,0.088,0.56,0.451472,0.547747,0.329862,0.463744,0.47633,0.443362,0.562304,0.35784,0.5624
cable_routing,actuator_latency_shift,recovery_scarcity,0.088,0.62,0.518056,0.619956,0.370474,0.37616,0.546258,0.596376,0.631856,0.296688,0.5852
cable_routing,actuator_latency_shift,cross_robot_morphology,0.088,0.66,0.492072,0.594422,0.509712,0.383776,0.521738,0.489931,0.751088,0.306096,0.6004
cable_routing,actuator_latency_shift,heldout_exception_composition,0.088,0.74,0.566776,0.675967,0.445894,0.437088,0.561243,0.536501,0.77096,0.371952,0.6308
cable_routing,actuator_latency_shift,combined_exception_stress,0.088,0.86,0.615496,0.731977,0.480704,0.456128,0.612554,0.58307,0.830576,0.390768,0.6764
cable_routing,mixed_exception_stress,nominal_scaling,0.088,0.12,0.487168,0.423118,0.310682,0.567136,0.401159,0.440352,0.412624,0.424032,0.468
cable_routing,mixed_exception_stress,contact_tail_shift,0.088,0.56,0.895488,0.746296,0.357094,0.62224,0.626589,0.60889,0.501184,0.52752,0.666
cable_routing,mixed_exception_stress,embodiment_shift,0.088,0.6,0.691328,0.596387,0.569267,0.658976,0.650848,0.635501,0.527752,0.565152,0.684
cable_routing,mixed_exception_stress,shortcut_shift,0.088,0.56,0.684992,0.589882,0.376986,0.925312,0.620672,0.591149,0.501184,0.71568,0.666
cable_routing,mixed_exception_stress,recovery_scarcity,0.088,0.62,0.786016,0.667645,0.423398,0.71408,0.711791,0.795168,0.563176,0.593376,0.693
cable_routing,mixed_exception_stress,cross_robot_morphology,0.088,0.66,0.746592,0.640147,0.582528,0.732448,0.67984,0.653242,0.669448,0.612192,0.711
cable_routing,mixed_exception_stress,heldout_exception_composition,0.088,0.74,0.859936,0.727964,0.509594,0.861024,0.731316,0.715334,0.68716,0.743904,0.747
cable_routing,mixed_exception_stress,combined_exception_stress,0.088,0.86,0.933856,0.788283,0.549376,0.906944,0.798176,0.777427,0.740296,0.781536,0.801
